id	va	changed_accesses	native_graph	retail_full	retail_summary
src/SOURCE/DRAWING.cpp:combatManager::CombatMessage(CombatMessageCommand messageType)#1	0x004381ef	1	PASS	True	?CombatMessage@combatManager@@QAEXH@Z bytes True size 887 887 DIR32 sites True ordered target errors []
src/SOURCE/DRAWING.cpp:combatManager::ResetLimitCreature(void)#1	0x00438566	1	PASS	True	?ResetLimitCreature@combatManager@@QAEXXZ bytes True size 223 223 DIR32 sites True ordered target errors []
src/SOURCE/DRAWING.cpp:combatManager::DrawSmallView(i32 viewIndex,i32 updateScreen)#1	0x0043aad6	2	PASS	True	?DrawSmallView@combatManager@@QAEXHH@Z bytes True size 2857 2857 DIR32 sites True ordered target errors []
src/SOURCE/FLY.cpp:army::CanFit(i32 hex,i32 tryOtherSide,i32 * fittingHex)#1	0x0044b000	1	PASS	True	?CanFit@army@@QAEHHHPAH@Z bytes True size 542 542 DIR32 sites True ordered target errors []
src/SOURCE/FLY.cpp:army::ValidFlight(i32 destination,ArmyPathTarget pathMode)#1	0x0044b21e	3	PASS	True	?ValidFlight@army@@QAEHHH@Z bytes True size 918 918 DIR32 sites True ordered target errors []
src/SOURCE/FLY.cpp:army::FlyTo(i32 destination)#1	0x0044b5ce	5	PASS	False	?FlyTo@army@@QAEHH@Z bytes True size 2530 2530 DIR32 sites True ordered target errors [('0x73e', '__real@8@3fffa666666666666800', '0x0', '0xea4d0', None)]
src/SOURCE/GAME.cpp:game::ViewArmy(i32 x,i32 y,CreatureType monsterType,i32 numTroops,town * castle,i32 disableUpgrade,ArmyFacing facing,i32 quickView,hero * theHero,class army * theArmy,armyGroup * theGroup,i32 groupIndex)#1	0x00455529	2	PASS	False	?ViewArmy@game@@QAEXHHHHPAVtown@@HHHPAVhero@@PAVarmy@@PAVarmyGroup@@H@Z bytes True size 3336 3336 DIR32 sites False ordered target errors [('0x6', '$L68165', '0x0', '0xe84cf', None), ('0xc', '__except_list', '0x0', '0xffc00000', None), ('0x14', '__except_list', '0x0', '0xffc00000', None), ('0xcfd', '__except_list', '0x0', '0xffc00000', None)]
src/SOURCE/GAME.cpp:game::ProcessRandomObjects(void)#1	0x0045b042	2	PASS	True	?ProcessRandomObjects@game@@QAEXXZ bytes True size 1780 1780 DIR32 sites True ordered target errors []
src/SOURCE/PHILAI.cpp:philAI::GetBestCreature(town * townPtr,BHC & best,float & bestValue)#1	0x00483b03	4	PASS	False	?GetBestCreature@philAI@@QAEXPAVtown@@AAUBHC@@AAM@Z bytes True size 760 760 DIR32 sites True ordered target errors [('0x212', '__real@8@3fffa666666666666800', '0x0', '0xea4d0', None), ('0x24e', '__real@8@4005c800000000000000', '0x0', '0xea6a8', None)]
src/SOURCE/SPELLAI.cpp:combatManager::DetermineEffectOfSpell(SpellType spell,i32 * bestEffect,i32 * bestHex)#1	0x00495fb4	4	PASS	False	?DetermineEffectOfSpell@combatManager@@QAEXHPAH0@Z bytes True size 3918 3918 DIR32 sites True ordered target errors [('0x411', '__real@8@3ffe8000000000000000', '0x0', '0xea500', None), ('0x9e6', '__real@8@3fffc000000000000000', '0x0', '0xea508', None), ('0x9fd', '__real@8@3ffe8000000000000000', '0x0', '0xea500', None), ('0xa93', '__real@8@3fffc000000000000000', '0x0', '0xea508', None), ('0xaaa', '__real@8@3ffe8000000000000000', '0x0', '0xea500', None), ('0xb8e', '__real@8@3ffe8000000000000000', '0x0', '0xea500', None)]
src/SOURCE/SPELLAI.cpp:combatManager::EffectSpellCreateCreature(i32 hex,SpellType spell)#1	0x00496f02	1	PASS	False	?EffectSpellCreateCreature@combatManager@@QAEHHH@Z bytes True size 621 621 DIR32 sites True ordered target errors [('0x240', '__real@8@3fffb333333333333000', '0x0', '0xea608', None)]
src/SOURCE/SPELLAI.cpp:combatManager::RawEffectSpellInfluence(army * target,ArmySpellInfluence influence)#1	0x0049716f	4	PASS	False	?RawEffectSpellInfluence@combatManager@@QAEHPAVarmy@@H@Z bytes True size 1461 1461 DIR32 sites True ordered target errors [('0x34', '__real@8@00000000000000000000', '0x0', '0xea768', None), ('0x1b5', '__real@4@4001e000000000000000', '0x0', '0xea840', None), ('0x1cc', '__real@4@4001e000000000000000', '0x0', '0xea840', None), ('0x1e6', '__real@4@4002a000000000000000', '0x0', '0xea570', None), ('0x21e', '__real@8@3ffe8000000000000000', '0x0', '0xea500', None), ('0x240', '__real@8@3ffde666666666666800', '0x0', '0xea838', None), ('0x4f7', '__real@8@3ffd9999999999999800', '0x0', '0xea568', None), ('0x503', '__real@4@3fff8000000000000000', '0x0', '0xea518', None)]
src/SOURCE/SPELLAI.cpp:combatManager::EffectSpellCure(i32 * effect,i32 targetSide,i32 targetIndex,i32 cure)#1	0x00497879	2	PASS	False	?EffectSpellCure@combatManager@@QAEXPAHHHH@Z bytes True size 875 875 DIR32 sites True ordered target errors [('0x129', '__real@8@3ffec000000000000000', '0x0', '0xea5b0', None)]
src/SOURCE/SPELLAI.cpp:combatManager::EffectSpellDamage(i32 * effect,SpellType spell,i32 targetHex)#1	0x00497d23	2	PASS	False	?EffectSpellDamage@combatManager@@QAEXPAHHH@Z bytes True size 2609 2609 DIR32 sites True ordered target errors [('0x4a4', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x4fd', '__real@8@3ffe8000000000000000', '0x0', '0xea500', None), ('0x51f', '__real@8@3ffe8000000000000000', '0x0', '0xea500', None), ('0x54f', '__real@8@3ffe8000000000000000', '0x0', '0xea500', None), ('0x57c', '__real@8@3ffe8000000000000000', '0x0', '0xea500', None), ('0x5a9', '__real@8@3ffe8000000000000000', '0x0', '0xea500', None), ('0x709', '__real@8@3ffec000000000000000', '0x0', '0xea5b0', None), ('0x878', '__real@8@3ffaccccccccccccd000', '0x0', '0xea498', None), ('0x944', '__real@8@3fffa000000000000000', '0x0', '0xea6c0', None)]
src/SOURCE/SPELLS.cpp:combatManager::CastSpell(SpellType spell,i32 targetHex,i32 castByCreature,i32 teleportDestination)#1	0x00499653	1	PASS	False	?CastSpell@combatManager@@QAEXHHHH@Z bytes True size 7130 7130 DIR32 sites True ordered target errors [('0xe8b', '__real@4@4006af00000000000000', '0x0', '0xea7c0', None), ('0xed3', '__real@8@3ffe8000000000000000', '0x0', '0xea500', None), ('0x1008', '__real@4@4005c800000000000000', '0x0', '0xea4c8', None), ('0x11c0', '__real@8@3ffe8000000000000000', '0x0', '0xea500', None)]
src/SOURCE/SPELLS.cpp:combatManager::BloodLustEffect(army * target,MonsterFlags effect)#1	0x0049c97d	2	PASS	True	?BloodLustEffect@combatManager@@QAEXPAVarmy@@H@Z bytes True size 467 467 DIR32 sites True ordered target errors []
src/SOURCE/SPELLS.cpp:combatManager::MirrorImage(i32 targetHex)#1	0x0049f7c0	2	PASS	False	?MirrorImage@combatManager@@QAEXH@Z bytes True size 1610 1610 DIR32 sites True ordered target errors [('0x4f6', '__real@4@4004c800000000000000', '0x0', '0xea868', None), ('0x5e6', '__real@4@4004c800000000000000', '0x0', '0xea868', None)]
src/SOURCE/SPELLS.cpp:combatManager::SummonElemental(CreatureType monsterType,i32 spellPower)#1	0x0049fe0a	1	PASS	True	?SummonElemental@combatManager@@QAEXHH@Z bytes True size 482 482 DIR32 sites True ordered target errors []
src/SOURCE/SPELLS.cpp:combatManager::Resurrect(SpellType spell,i32 targetHex,i32 spellPower)#1	0x004a0433	1	PASS	False	?Resurrect@combatManager@@QAEXHHH@Z bytes True size 1426 1426 DIR32 sites True ordered target errors [('0x45a', '__real@4@40059600000000000000', '0x0', '0xea54c', None)]
