domain	owner	storage	start	size	kind	identity	provenance
text	smackw32.DLL	text	0xc3d02	0x6	function	_SmackSoundUseDirectSound@4	retained-or-recovered-procedure
text	smackw32.DLL	text	0xc3d08	0x6	function	_SmackSoundUseMSS@4	retained-or-recovered-procedure
text	-	text	0xc3d0e	0x2	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc3d10	0x58	function	?InitMemEntry@@YIXXZ	retained-or-recovered-procedure
text	-	text	0xc3d68	0x8	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc3d70	0x20f	function	?BaseAlloc@@YIPAXIPADH@Z	retained-or-recovered-procedure
text	-	text	0xc3f7f	0x1	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc3f80	0x386	function	?BaseFree@@YIXPAXPADH@Z	retained-or-recovered-procedure
text	-	text	0xc4306	0xa	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc4310	0x134	function	?PrintMemoryLeaks@@YIXXZ	retained-or-recovered-procedure
text	-	text	0xc4444	0xc	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc4450	0x91	function	?ShowMemoryStatus@@YIXXZ	retained-or-recovered-procedure
text	-	text	0xc44e1	0xf	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc44f0	0x48	function	?MAKEFILEID@@YIKPAD@Z	retained-or-recovered-procedure
text	-	text	0xc4538	0x8	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc4540	0x95	function	?FindIndex@@YIHPAUindexArray@@HHH@Z	retained-or-recovered-procedure
text	-	text	0xc45d5	0xb	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc45e0	0xea	function	?FadeIn@@YIXH@Z	retained-or-recovered-procedure
text	-	text	0xc46ca	0x6	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc46d0	0xe6	function	?FadeOut@@YIXH@Z	retained-or-recovered-procedure
text	-	text	0xc47b6	0xa	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc47c0	0x28	function	?Random@@YIHHH@Z	retained-or-recovered-procedure
text	-	text	0xc47e8	0x8	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc47f0	0x5d	function	?ProcessAssert@@YIXHPADH@Z	retained-or-recovered-procedure
text	-	text	0xc484d	0x3	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc4850	0x66	function	?FindStringInString@@YIPADPAD0@Z	retained-or-recovered-procedure
text	-	text	0xc48b6	0xa	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc48c0	0x31	function	?FindToken@@YIPADPADD@Z	retained-or-recovered-procedure
text	-	text	0xc48f1	0xf	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc4900	0x2b	function	?FindLastToken@@YIPADPADD@Z	retained-or-recovered-procedure
text	-	text	0xc492b	0x5	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc4930	0x6c	function	?SetInstallDefaults@@YIXXZ	retained-or-recovered-procedure
text	-	text	0xc499c	0x4	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc49a0	0x1b5	function	?SetGameDefaults@@YIXXZ	retained-or-recovered-procedure
text	-	text	0xc4b55	0xb	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc4b60	0x13f	function	?ReadPrefsFromFile@@YIXXZ	retained-or-recovered-procedure
text	-	text	0xc4c9f	0x1	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc4ca0	0x7ab	function	?ReadPrefsFromRegistry@@YIXXZ	retained-or-recovered-procedure
text	-	text	0xc544b	0x5	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc5450	0xa1	function	?ReadPrefs@@YIXXZ	retained-or-recovered-procedure
text	-	text	0xc54f1	0xf	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc5500	0x6a	function	?WritePrefsToFile@@YIXXZ	retained-or-recovered-procedure
text	-	text	0xc556a	0x6	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc5570	0x491	function	?WritePrefsToRegistry@@YIXXZ	retained-or-recovered-procedure
text	-	text	0xc5a01	0xf	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc5a10	0xa	function	?WritePrefs@@YIXXZ	retained-or-recovered-procedure
text	-	text	0xc5a1a	0x6	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc5a20	0x3c	function	?IsCDDrive@@YIHH@Z	retained-or-recovered-procedure
text	-	text	0xc5a5c	0x4	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc5a60	0x3ed	function	?SetupCDDrive@@YIHXZ	retained-or-recovered-procedure
text	-	text	0xc5e4d	0x3	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc5e50	0x18	function	?BitmapToScreen@@YIXPAVbitmap@@@Z	retained-or-recovered-procedure
text	-	text	0xc5e68	0x8	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc5e70	0x3d	function	?SetPalette@@YIXPACH@Z	retained-or-recovered-procedure
text	-	text	0xc5ead	0x3	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc5eb0	0x25	function	?BlitBitmapToScreenNoMouseCheck@@YIXPAVbitmap@@HHHHHH@Z	retained-or-recovered-procedure
text	-	text	0xc5ed5	0xb	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc5ee0	0x18b	function	?BlitBitmapToScreen@@YIXPAVbitmap@@HHHHHH@Z	retained-or-recovered-procedure
text	-	text	0xc606b	0x5	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc6070	0xa6	function	?LogTruncate@@YIXXZ	retained-or-recovered-procedure
text	-	text	0xc6116	0xa	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc6120	0x9e	function	?LogStr@@YIXPAD@Z	retained-or-recovered-procedure
text	-	text	0xc61be	0x2	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc61c0	0x224	function	?LogInt@@YIXPADHHHHHHH@Z	retained-or-recovered-procedure
text	-	text	0xc63e4	0xc	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc63f0	0x6c	function	?AiPrint@@YIXPAD@Z	retained-or-recovered-procedure
text	-	text	0xc645c	0x4	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc6460	0x7a	function	?AbsAiPrint@@YIXPAD@Z	retained-or-recovered-procedure
text	-	text	0xc64da	0x6	padding	-	retail-padding-bytes
text	BASE/Misc	text	0xc64e0	0xf8	function	?FadeTo@@YIXPAE0H@Z	retained-or-recovered-procedure
text	-	text	0xc65d8	0x8	padding	-	retail-padding-bytes
