id	path	va	casts	address	outside	reviewed_body_sha256	evidence	baseline_body_sha256
src/SOURCE/PHILAI.cpp:philAI::BuildHero(town * townPtr,i32 availableHeroIndex)#1	src/SOURCE/PHILAI.cpp	0x00487cf6	pending					ceeadd5ca43c32d8c311722ff5b0beb27692a84df6daf3ac39ddcbf34d5c6c2e
src/SOURCE/PHILAI.cpp:philAI::CanBuyBHC(BHC & bhc)#1	src/SOURCE/PHILAI.cpp	0x00488284	pending					0e631a254f27ed0cdccdb762107d764ba4ac7e7c9e034b68e9b24ef3eb81119c
src/SOURCE/PHILAI.cpp:philAI::ChooseToFightForArtifact(ArtifactType artifact,CreatureType monster,i32 quantity)#1	src/SOURCE/PHILAI.cpp	0x00487b1f	pending					e915b4351fc28f2617f8b35843dc77f79da0d65f1e3c62810a033bb7d365f024
src/SOURCE/PHILAI.cpp:philAI::CombatMonsterEvent(hero * h,CreatureType monType,i32 * pCount,mapCell * cell)#1	src/SOURCE/PHILAI.cpp	0x0048839b	pending					06f5f3b718fd95eef10c7d0024dd02567524ce5332d383b17481e4e61641889d
src/SOURCE/PHILAI.cpp:philAI::ComputeUpgradeValue(CreatureType a1,CreatureType a2)#1	src/SOURCE/PHILAI.cpp	0x00488e2b	pending					7bc3e8e6bc20449e7377806d00d33baa2d8f01f4a9be563a0fd0e96d0aa02e9f
src/SOURCE/PHILAI.cpp:philAI::ComputeValueOfSS(hero * h,HeroSecondarySkill skill,HeroSkillLevel level)#1	src/SOURCE/PHILAI.cpp	0x00488eb5	pending					3a35451d4d573bf255ea8e82ebd031c729c4842a444dfef8a21113f2177011d1
src/SOURCE/PHILAI.cpp:philAI::DetermineTargetPosition(i32 & targetX,i32 & targetY,i32 mobility,MapDirection & direction)#1	src/SOURCE/PHILAI.cpp	0x00481c03	pending					a6c3224acc384646f81ead07e7c0afc7e9649811311badb968b65e854dd80733
src/SOURCE/PHILAI.cpp:philAI::DoAI(i32 player)#1	src/SOURCE/PHILAI.cpp	0x0047fd23	pending					52dbfcf6ee5cd0cc7784f2b2d92d9ed5bda23425e33fc34308a73782beb0b974
src/SOURCE/PHILAI.cpp:philAI::DoAnywhereDDoorTownGate(i32 targetValue)#1	src/SOURCE/PHILAI.cpp	0x0047f72a			pending			e61d1500b5f4344afb0164bdb94e8442ed20351a62b6fdf51e51ffbdfa2bf2ef
src/SOURCE/PHILAI.cpp:philAI::EvaluateArtifactEvent(ArtifactType artifact,i32 eventData)#1	src/SOURCE/PHILAI.cpp	0x0048b270	pending					536a97dbd562f8a6354e08f077c3a09102d18df7078c1bfb3ef27b2794303f6d
src/SOURCE/PHILAI.cpp:philAI::EvaluateGenericSite(mapCell * cell)#1	src/SOURCE/PHILAI.cpp	0x0048aacf	pending					4c509275b973fbda3a6814175009441a147655c53723018e5b33ac02a27ae4d3
src/SOURCE/PHILAI.cpp:philAI::EvaluateHeroEvent(i32 heroId,i32 x,i32 y,i32 mode,i32 * liveChance)#1	src/SOURCE/PHILAI.cpp	0x0048ba5e	pending					b2dd5f1d2ecd82c622bd82c5acc70699a911416e775a0327456cc68ae6bd517e
src/SOURCE/PHILAI.cpp:philAI::EvaluateMonsterEvent(CreatureType monsterType,i32 eventData,i32 * liveChance)#1	src/SOURCE/PHILAI.cpp	0x0048b77b	pending					24356f975bc8269a214970bf6511d2dd9ec4cf73a9c9f9e29bdad8cf90805499
src/SOURCE/PHILAI.cpp:philAI::EvaluateRecruitSite(mapCell * cell)#1	src/SOURCE/PHILAI.cpp	0x0048adef	pending					7ca925faf28a80850f0d8a9a4f033fbebb863fdd8e296621725b9838025512f2
src/SOURCE/PHILAI.cpp:philAI::FightEvent(hero * h,mapCell * cell,i32 evaluateOnly)#1	src/SOURCE/PHILAI.cpp	0x004884f1	pending					5e60873d3eae8a52357302f65b7efb289ef2186e7802362e01c8178c14237205
